path	classification	action	reason
.dockerignore	tooling	retain	build, dependency, configuration boundary or project metadata
.env.example	tooling	retain	build, dependency, configuration boundary or project metadata
.github/ISSUE_TEMPLATE/bug_report.md	tooling	retain	required CI or contribution template
.github/ISSUE_TEMPLATE/feature_request.md	tooling	retain	required CI or contribution template
.github/PULL_REQUEST_TEMPLATE.md	tooling	retain	required CI or contribution template
.github/workflows/ci.yml	tooling	retain	required CI or contribution template
.gitignore	tooling	retain	build, dependency, configuration boundary or project metadata
AGENTS.md	documentation	retain	product entry point, license or contribution instructions
Dockerfile	tooling	retain	build, dependency, configuration boundary or project metadata
LICENSE	documentation	retain	product entry point, license or contribution instructions
README.md	documentation	retain	product entry point, license or contribution instructions
app/__init__.py	source	retain	runtime architecture or deterministic migration
app/application/__init__.py	source	retain	runtime architecture or deterministic migration
app/application/api_football_catalog_service.py	source	retain	runtime architecture or deterministic migration
app/application/api_football_fixture_import_service.py	source	retain	runtime architecture or deterministic migration
app/application/api_football_fixture_normalization_service.py	source	retain	runtime architecture or deterministic migration
app/application/api_football_import_orchestrator.py	source	retain	runtime architecture or deterministic migration
app/application/api_football_import_runtime_service.py	source	retain	runtime architecture or deterministic migration
app/application/container.py	source	retain	runtime architecture or deterministic migration
app/application/football_data_import_orchestrator.py	source	retain	runtime architecture or deterministic migration
app/application/football_data_import_runtime_service.py	source	retain	runtime architecture or deterministic migration
app/application/football_data_premier_league_service.py	source	retain	runtime architecture or deterministic migration
app/application/manual_import_service.py	source	retain	runtime architecture or deterministic migration
app/application/manual_import_worker.py	source	retain	runtime architecture or deterministic migration
app/application/manual_preview_service.py	source	retain	runtime architecture or deterministic migration
app/application/manual_review_service.py	source	retain	runtime architecture or deterministic migration
app/application/nflverse_competition_service.py	source	retain	runtime architecture or deterministic migration
app/application/nflverse_import_orchestrator.py	source	retain	runtime architecture or deterministic migration
app/application/nflverse_import_runtime_service.py	source	retain	runtime architecture or deterministic migration
app/application/oefb_ical_competition_service.py	source	retain	runtime architecture or deterministic migration
app/application/oefb_ical_import_orchestrator.py	source	retain	runtime architecture or deterministic migration
app/application/oefb_ical_import_runtime_service.py	source	retain	runtime architecture or deterministic migration
app/application/openligadb_competition_service.py	source	retain	runtime architecture or deterministic migration
app/application/openligadb_import_orchestrator.py	source	retain	runtime architecture or deterministic migration
app/application/openligadb_import_runtime_service.py	source	retain	runtime architecture or deterministic migration
app/application/scope_retirement_service.py	source	retain	runtime architecture or deterministic migration
app/application/source_registry.py	source	retain	runtime architecture or deterministic migration
app/config/__init__.py	source	retain	runtime architecture or deterministic migration
app/config/settings.py	source	retain	runtime architecture or deterministic migration
app/database/__init__.py	source	retain	runtime architecture or deterministic migration
app/database/calendar_event_mappings_repository.py	source	retain	runtime architecture or deterministic migration
app/database/competitions_catalog.py	source	retain	runtime architecture or deterministic migration
app/database/competitions_repository.py	source	retain	runtime architecture or deterministic migration
app/database/data_sources_repository.py	source	retain	runtime architecture or deterministic migration
app/database/database.py	source	retain	runtime architecture or deterministic migration
app/database/event_asset_attachments_repository.py	source	retain	runtime architecture or deterministic migration
app/database/event_participants_repository.py	source	retain	runtime architecture or deterministic migration
app/database/event_results_repository.py	source	retain	runtime architecture or deterministic migration
app/database/event_statistics_repository.py	source	retain	runtime architecture or deterministic migration
app/database/fixture_import_repository.py	source	retain	runtime architecture or deterministic migration
app/database/manual_import_repository.py	source	retain	runtime architecture or deterministic migration
app/database/manual_preview_repository.py	source	retain	runtime architecture or deterministic migration
app/database/manual_review_repository.py	source	retain	runtime architecture or deterministic migration
app/database/media_assets_repository.py	source	retain	runtime architecture or deterministic migration
app/database/migrations/001_initial_schema.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/002_create_season_participants.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/003_extend_sync_run_counters.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/004_add_mapping_transaction_id.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/005_create_fixture_reconciliation_state.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/006_extend_provider_import_runs.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/007_create_source_assignments.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/008_add_calendar_sync_revisions.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/009_create_reminder_rules.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/010_add_presentation_sync_revisions.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/011_create_media_assets.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/012_create_calendar_event_asset_attachments.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/013_manual_import_persistence.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/014_manual_review_appointments.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/015_scope_retirement.sql	source	retain	runtime architecture or deterministic migration
app/database/migrations/__init__.py	source	retain	runtime architecture or deterministic migration
app/database/participants_catalog.py	source	retain	runtime architecture or deterministic migration
app/database/participants_repository.py	source	retain	runtime architecture or deterministic migration
app/database/reminder_rules_repository.py	source	retain	runtime architecture or deterministic migration
app/database/scope_retirement_repository.py	source	retain	runtime architecture or deterministic migration
app/database/season_participants_repository.py	source	retain	runtime architecture or deterministic migration
app/database/seasons_catalog.py	source	retain	runtime architecture or deterministic migration
app/database/seasons_repository.py	source	retain	runtime architecture or deterministic migration
app/database/source_assignments_repository.py	source	retain	runtime architecture or deterministic migration
app/database/source_mappings_repository.py	source	retain	runtime architecture or deterministic migration
